"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Hspb7","other","chaperone/protein aggregation prevention","unfolded/aggregated proteins (general sHSP substrate)","cytoplasm; sarcomere","heart; skeletal muscle; bone marrow stromal cells","cardiomyocytes; osteoblasts; mesenchymal stem cells","protein quality control; osteogenic/adipogenic lineage balance","small heart; congestive heart failure; embryonic lethality; abnormal sarcomere; decreased cardiomyocyte proliferation","lethal (embryonic/early postnatal)",NA,NA,"lung squamous cell carcinoma (lncRNA network); bioinformatic associations","bioinformatic expression correlation only",NA,"regulates osteogenic vs. adipogenic differentiation of BMSCs; promotes osteogenesis","Small heat shock protein essential for cardiac development; promotes osteogenic differentiation of mesenchymal stem cells."
"Dio2","enzyme","outer-ring deiodination of iodothyronine","L-thyroxine (T4) to T3; rT3 to 3,3'-T2; thyronamines","endoplasmic reticulum membrane","thyroid; brain; brown adipose; testis; retina","astrocytes; neural stem cells; oligodendrocyte precursors; brown adipocytes; Sertoli/Leydig cells","thyroid hormone (TH) signaling; adaptive thermogenesis; mTOR (via T3); Wnt (downstream TH effects)","decreased body weight; postnatal growth retardation; increased TSH; abnormal thermogenesis; abnormal urine homeostasis","moderate","neural stem cell renewal and commitment altered in SVZ (Mct8/Dio2 DKO functional study)",NA,"lung adenocarcinoma (bioinformatic)","bioinformatic association only","Parkinson's disease (methylation EWAS signal adjacent region)","critical for local T3 availability during CNS development; regulates oligodendrocyte and neuronal differentiation via T3","Selenoprotein that converts T4 to active T3; essential for CNS neural stem cell differentiation, thermogenesis, and postnatal growth."
"Rbfox1","other","alternative splicing regulation","pre-mRNA 5'-UGCAUGU-3' elements; U2AF2 competition at 3' splice sites","nucleus; cytoplasm","brain; heart; muscle; retina","neurons; retinal ganglion cells; cortical neurons; cardiomyocytes","alternative splicing networks; neuronal differentiation; erythropoiesis","short tibia; preweaning lethality","lethal","expressed in neocortex neurons; regulates developmentally regulated alternative splicing; retinal ganglion cell expression confirmed",NA,"bioinformatic biomarker in cancer (indirect)","bioinformatic association only","autism spectrum disorder; schizophrenia; epilepsy; Alzheimer's disease; Parkinson's disease; major depressive disorder","regulates neuronal differentiation-associated splicing; controls transcription factor isoform switching in developing neocortex","RNA-binding protein that controls alternative splicing of neuronal genes; associated with neurodevelopmental disorders and regulates isoform switching during brain development."
"Cabp7","other","PI4KB inhibition; vesicle trafficking regulation","PI4KIII-beta (PI4KB)","Golgi; lysosomes; plasma membrane","brain (high expression)","neurons; GnRH neurons","PI4P/phosphoinositide signaling; Golgi-to-plasma membrane trafficking; cytokinesis",NA,NA,"brain-enriched; regulates vesicle transport in neurons (overexpression study); GnRH neuron expression confirmed",NA,NA,NA,NA,"expressed during NeuroD1-mediated reprogramming of glia to neurons","Neuronal calcium-binding protein (calneuron family) that inhibits PI4KIII-beta to regulate Golgi vesicle trafficking and cytokinesis."
"Epn3","scaffold/adaptor","clathrin-mediated endocytosis adaptor","clathrin; ubiquitinated cargo","clathrin-coated pits; plasma membrane","gastric parietal cells; wounded/pathological tissue; lung; breast","epithelial cells; cancer cells","clathrin-mediated endocytosis; EMT; EGFR/receptor endocytosis","no abnormal phenotype; increased mean corpuscular hemoglobin; abnormal auditory brainstem response","mild","abnormal auditory brainstem response",NA,"breast cancer; non-small cell lung cancer; gastric cancer; glioma","oncogene in ER+ breast cancer and NSCLC; promotes EMT and metastasis (functional study in lung adenocarcinoma)",NA,NA,"Endocytic adaptor protein functioning as an oncogene in breast and lung cancers by promoting EMT and clathrin-mediated receptor endocytosis."
"Card14","scaffold/adaptor","NF-kB and p38/JNK scaffold activation","MALT1; BCL10; TRAF2/3/6","plasma membrane; cytoplasm","skin epidermis; keratinocytes","keratinocytes; skin epithelial cells","NF-kB signaling; MALT1 proteolytic activation; p38/JNK MAP kinase; inflammatory gene expression","psoriasis; skin hyperplasia; hyperkeratosis; acanthosis; increased keratinocyte proliferation; postnatal lethality","lethal (postnatal)",NA,NA,"various cancers (bioinformatic pan-cancer analysis); osteoclastogenesis context (AIS)","pro-tumorigenic potential via NF-kB; gain-of-function mutations drive skin inflammation","psoriasis; pityriasis rubra pilaris (CAPE)","keratinocyte differentiation/proliferation balance","Scaffolding protein activating NF-kB and MALT1 in keratinocytes; gain-of-function mutations cause psoriasis (PSORS2 locus) and generalized pustular psoriasis."
"Cnksr3","scaffold/adaptor","ENaC surface expression regulation; sodium transport scaffolding","ENaC (epithelial sodium channel); aldosterone signaling components","plasma membrane; cytoplasm","kidney; epithelial tissues","epithelial cells","aldosterone/ENaC-mediated sodium transport; ILK-PAK1 signaling (indirect)",NA,NA,NA,NA,"uveal melanoma; colorectal cancer (bioinformatic); B-cell ALL (bioinformatic)","bioinformatic association only","epilepsy GWAS signal",NA,"Scaffold protein coordinating ENaC-regulatory complex for aldosterone-induced transepithelial sodium transport; GWAS signal in epilepsy."
"Lonrf3","ubiquitin ligase","E3 ubiquitin ligase (inferred from LON peptidase N-terminal + RING finger domain)","unknown substrates",NA,"broadly expressed",NA,"ubiquitin-proteasome system","increased circulating calcium; increased circulating free fatty acids; increased circulating magnesium","mild/metabolic",NA,NA,"IPF prognosis signature; breast cancer; pancreatic cancer (bioinformatic signatures only)","bioinformatic prognostic association only",NA,NA,"RING finger-containing putative E3 ubiquitin ligase with mild metabolic KO phenotype; appears in bioinformatic cancer prognostic signatures without functional studies."
"Plxdc1","receptor","endothelial cell morphogenesis; capillary formation","unknown ligand; plexin domain interaction","plasma membrane","tumor vasculature; glioblastoma endothelium; cornea","endothelial cells; tumor endothelial cells","angiogenesis; VEGF-independent vessel formation",NA,NA,NA,"glioblastoma endothelial cells express Plxdc1; Plxdc2 (related) expressed in embryonic CNS including brain","gastric cancer; glioblastoma; pancreatic cancer (tumor endothelial marker)","tumor endothelial marker (TEM7); pro-angiogenic in tumor vasculature",NA,NA,"Tumor endothelial marker (TEM7) critical for capillary morphogenesis; highly expressed in glioblastoma and gastric cancer vasculature as a pro-angiogenic receptor."
"Rab37","GTPase/regulator","GTP-dependent vesicle trafficking; autophagosome biogenesis organizer; exocytosis regulator","insulin granule cargo; autophagic substrates","secretory granules; autophagosomes; cytoplasm","pancreatic beta cells; mast cells; adipose tissue","beta cells; mast cells; adipocytes; ADSCs","Rab GTPase cycle; insulin secretion; autophagy; exocytosis; adipogenesis","hyperglycemia; decreased insulin secretion","moderate/metabolic",NA,NA,"papillary RCC; glioblastoma angiogenesis (bioinformatic); nasopharyngeal carcinoma (methylation)","tumor suppressor role suggested in some contexts; methylation-silenced in NPC",NA,"promotes adipogenic differentiation of ADSCs; regulates wound healing","GTPase regulating insulin granule exocytosis in beta cells and autophagosome biogenesis; KO causes hyperglycemia and impaired insulin secretion."
"Adam11","adhesion molecule","non-catalytic metalloprotease-like; integrin ligand; KV1.1/KV1.2 localization","KCNA1/KV1.1; KCNA2/KV1.2; integrins (putative)","plasma membrane; axonal terminals","CNS (broadly); cerebellar basket cell terminals; peripheral pain neurons","basket cells; Purkinje cells; neurons","ephaptic inhibitory synchronization; axon guidance; integrin signaling; nociception","abnormal spatial learning; impaired coordination; abnormal locomotor behavior","moderate","impaired spatial learning and motor coordination; abnormal basket cell pinceau function","Directly required for KV1.1/KV1.2 localization at basket cell distal terminals in cerebellar cortex; basket cell pinceau structure; ephaptic Purkinje cell inhibition","breast cancer (bioinformatic); retinoic acid target in EC cell neuronal differentiation","bioinformatic or correlative associations only","pain sensitization (chemical nociception)","expressed during neuronal differentiation (RA-induced); marks neuronal lineage commitment","Non-catalytic ADAM protein required for potassium channel localization at cerebellar basket cell terminals, enabling ephaptic inhibition of Purkinje cells; KO impairs motor coordination and spatial learning."
"Samd4","other","mRNA regulation; translational repression (Smaug-like)","mRNA targets containing Smaug recognition elements (SRE); TNNI3 (inferred)","cytoplasm; stress granules; RNA granules","broadly expressed; muscle; brain; liver","hippocampal neurons; cardiomyocytes; skeletal muscle cells; hepatocytes","mRNA stability/translation; synapse plasticity; 14-3-3 interaction network; RNA-binding protein networks","abnormal gait; kyphosis; myopathy; muscle hypoplasia; decreased compact bone; hepatic steatosis; male and female infertility; abnormal glucose homeostasis; premature death","severe/pleiotropic","decreased locomotor activity; abnormal gait (neuromuscular component)",NA,"intrahepatic cholangiocarcinoma (bioinformatic)","bioinformatic association only","neurodegenerative disease contexts (oxidative stress/mRNA regulation)","expressed during cardiomyocyte differentiation; required for skeletal development; regulates synapse plasticity","Smaug-family RNA-binding protein that represses mRNA translation; required for skeletal muscle, bone, and reproductive development; regulates synaptic plasticity in hippocampal neurons."
"Mbnl2","other","alternative splicing regulation; mRNA localization","CUG repeat-containing RNAs; TNNT2 pre-mRNA; insulin receptor pre-mRNA; ITGA3 3'UTR","nucleus; cytoplasm","muscle; brain; heart","neurons; skeletal muscle cells; cardiomyocytes; smooth muscle cells","alternative splicing; myotonic dystrophy pathogenesis; CELF antagonism; RNA transport","lordosis; skeletal muscle fiber morphology defects; impaired muscle relaxation; fibrosis; tonic-clonic seizures; abnormal spatial memory; reduced LTP; abnormal CNS synaptic transmission","severe","abnormal spatial reference memory; reduced long-term potentiation; tonic-clonic seizures; impaired synaptic plasticity; brain structural defects (with Mbnl1)","cerebellar volume changes noted in Mbnl1/2 combined KO brain MRI","bioinformatic contexts","bioinformatic association only","myotonic dystrophy (DM1/DM2); epilepsy; neurodegeneration","regulates developmental splicing transitions in muscle and brain; required for postnatal maturation of splicing programs","RNA-binding protein sequestered by CUG repeat expansions in myotonic dystrophy; KO causes seizures, impaired synaptic plasticity, and muscle degeneration."
"Deptor","scaffold/adaptor","mTORC1 and mTORC2 inhibition; autophagy induction","mTOR kinase (inhibitory binding via DEP domain)","mTOR complex (cytoplasm)","broadly expressed; enriched in white adipose tissue in obesity","adipocytes; osteoblasts; pituitary cells; lymphoma cells","mTOR signaling; autophagy; PI3K/Akt pathway; Wnt/c-Myc/mTOR axis","NA (no standard KO reported); obesity QTL role inferred",NA,NA,NA,"colorectal cancer; pituitary adenoma; diffuse large B-cell lymphoma","downregulated in PA and CRC, acting as tumor suppressor; mTOR hyperactivation upon DEPTOR loss",NA,"regulates osteogenic vs. adipogenic differentiation of BMSCs; mTOR inhibitor role in stem cell differentiation","Endogenous mTOR inhibitor binding both mTORC1 and mTORC2; downregulated in multiple cancers enabling mTOR-driven proliferation; controls stem cell osteogenic/adipogenic fate."
"Ece2","enzyme","zinc metalloprotease; neuropeptide precursor processing; endothelin conversion","Big endothelin-1 (to ET-1); neurotensin; angiotensin I; substance P; proenkephalin; prodynorphin; amyloid-beta (minor)","intracellular membranes; secretory compartment","brain; heart; vasculature; cerebellar Purkinje cells and Bergmann glia","Purkinje cells; Bergmann glia; neurons; endothelial cells","endothelin signaling; opioid receptor recycling; neuropeptide maturation; amyloid processing",NA,NA,"ECE2 expressed in cerebellar Purkinje cells and Bergmann glia (direct electrophysiology/RT-PCR study); regulates opioid peptide processing in brain","lung adenocarcinoma","downregulated in lung adenocarcinoma (bioinformatic/expression study)","periventricular heterotopia (mutation study implicating ECE2 in cortical neuron migration)","expressed in differentiating neurons; processes neuropeptides critical for neural circuit maturation","Zinc metalloprotease converting Big ET-1 to endothelin-1 and processing neuropeptide precursors; expressed in cerebellar Purkinje cells and Bergmann glia; mutations linked to periventricular heterotopia.",""
"Lnpep","enzyme","zinc aminopeptidase; peptide hormone degradation","oxytocin; vasopressin; angiotensin III/IV; Met-enkephalin; dynorphin","plasma membrane; vesicles","kidney; brain; placenta; adipose; vasculature","neurons; adipocytes; platelets; vascular smooth muscle","renin-angiotensin system; opioid peptide degradation; insulin-regulated GLUT4 vesicle trafficking; MHC-I antigen processing","abnormal glucose homeostasis; insulin resistance; impaired coordination; abnormal spatial working memory; decreased brown adipose; increased insulin sensitivity (paradoxical); decreased susceptibility to diet-induced obesity","moderate","impaired coordination; abnormal spatial working memory","inferred CNS expression (angiotensin IV receptor activity; enkephalin/dynorphin cleavage)","ovarian cancer; colorectal cancer; AML (bioinformatic immune contexts)","bioinformatic immune evasion context","schizophrenia (circRNA/miRNA network study)",NA,"Zinc aminopeptidase (IRAP) degrading oxytocin, vasopressin, and angiotensin IV in brain and periphery; regulates insulin-stimulated GLUT4 vesicle trafficking and glucose homeostasis."
"Dtna","scaffold/adaptor","dystrophin-associated complex scaffolding; synapse maturation","dystrophin complex components; syntrophins; neuronal NOS","plasma membrane; sarcolemma; NMJ","muscle; heart; brain","cardiomyocytes; skeletal muscle fibers; neurons","dystrophin-associated protein complex; NMJ maturation; dystrophic signaling","impaired coordination; dystrophic muscle; abnormal NMJ morphology; cardiomyopathy; cardiac fibrosis; decreased grip strength","moderate","impaired coordination","Dystrobrevin expressed in brain/cerebellum (inferred from dystrophin complex); associated with vestibular/cerebellar ataxia genetics","glioblastoma (bioinformatic)","bioinformatic association only","Duchenne muscular dystrophy (component of dystrophin complex); vestibular/cerebellar ataxia genetics","required for NMJ maturation and muscle function","Dystrobrevin alpha component of the dystrophin-associated protein complex; required for NMJ maturation, muscle integrity, and cardiac function; KO causes dystrophic myopathy and cardiomyopathy."
"Tmem132a","receptor","Wnt signaling modulation; STAT3 phosphorylation regulation; cell survival signaling","STAT3 (via cAMP/GFAP axis, inferred); Wnt pathway components","plasma membrane","brain; broadly expressed in embryo","neurons; astrocytes; embryonic cells; breast cancer cells","Wnt signaling; STAT3/GFAP pathway; cell survival","increased heart weight; abnormal bone; increased total body fat; neural tube closure defects; spina bifida; craniofacial abnormalities; preweaning lethality","lethal","neural tube closure defects; spina bifida; expressed in developing CNS (RNA ISH in embryonic nervous system)","expressed in cerebellum (Tmem132 family ISH shows cerebellar expression)","gastric cancer; breast cancer; melanoma (bioinformatic)","bioinformatic prognostic associations; autoantibody target in autoimmune cerebellar ataxia","autoimmune cerebellar ataxia (anti-TMEM132A antibody detected)","expressed during embryonic CNS development; regulates GFAP expression in glia","Transmembrane protein regulating Wnt signaling in embryonic development; autoantibody target in autoimmune cerebellar ataxia; KO causes neural tube defects and embryonic lethality."
"Pmel","structural protein","physiological amyloid fibril formation; melanin scaffold assembly","eumelanin precursors (toxic quinones sequestered); fibrillar matrix substrates","melanosome (stages I-IV)","melanocytes; skin; hair; retinal pigment epithelium","melanocytes; pigment cells","melanosome biogenesis; amyloid fiber assembly; pigmentation","irregular coat pigmentation; reduced melanin granules; abnormal melanosome morphology; increased startle reflex","mild","increased startle reflex (auditory processing change)",NA,"melanoma (target antigen; gp100/HMB45 immunotherapy target)","melanoma-specific antigen used in immunotherapy; highly restricted normal tissue expression",NA,"marks differentiated melanocyte lineage; expression restricted to pigmented cells","Melanocyte-specific glycoprotein forming physiological amyloid fibrils that scaffold eumelanin deposition in melanosomes; used as a melanoma immunotherapy target (gp100)."
"St8sia5","enzyme","alpha-2,8-sialyltransferase; ganglioside biosynthesis","GD1a (to GD1c); GT1b (to GQ1b); GM1b (to GT1a); GD3 (to GT3)","Golgi apparatus","brain; broadly neural","neurons; neural stem cells","ganglioside biosynthesis; neuronal differentiation",NA,NA,"GQ1b ganglioside expressed upon ST8Sia5 transfection in mESC-derived neurons (functional study); gangliosides regulate neuronal differentiation","gastric cancer; uterine endometrial carcinoma; gastric adenocarcinoma (bioinformatic prognostic)","bioinformatic prognostic associations",NA,"ST8Sia5 transfection promotes neuronal differentiation from mESCs; ganglioside GQ1b induction associated with differentiated neurons","Sialyltransferase synthesizing complex gangliosides (GD1c, GQ1b, GP1c) in neurons; promotes neuronal differentiation from embryonic stem cells via ganglioside remodeling.",""
"Tspan4","structural protein","membrane scaffold; migrasome formation; integrin/receptor complex organization","integrins; ADAM proteases (indirect); cell surface receptors","plasma membrane; extracellular vesicles; migrasomes","broadly expressed; enriched in migratory cells; fibroblasts; glioblastoma","fibroblasts; cancer-associated fibroblasts; GBM cells; platelets","tetraspanin web; migrasome biogenesis; integrin signaling; tumor microenvironment remodeling","reproductive system phenotype","mild",NA,NA,"hepatocellular carcinoma; pancreatic cancer; glioblastoma (migrasome context)","promotes cancer-associated fibroblast activity and migrasome formation; GBM migration support",NA,NA,"Tetraspanin scaffolding membrane microdomains and migrasomes; expressed in cancer-associated fibroblasts where it supports pancreatic cancer progression and glioblastoma cell migration."
"Tspan17","structural protein","ADAM10 maturation and trafficking; ectodomain shedding specificity","ADAM10 substrates (VE-cadherin; Notch; amyloid precursor protein; cadherins)","endoplasmic reticulum; plasma membrane","broadly expressed","endothelial cells; broadly","TspanC8/ADAM10 pathway; Notch signaling; leukocyte transmigration; amyloid precursor processing","increased circulating cholesterol; increased circulating iron","mild/metabolic",NA,NA,"breast cancer; colorectal cancer; glioblastoma multiforme (bioinformatic)","bioinformatic associations; ADAM10-dependent ectodomain shedding in cancer contexts",NA,NA,"TspanC8 tetraspanin required for ADAM10 exit from ER and substrate-specific ectodomain shedding; promotes leukocyte transmigration via VE-cadherin regulation."
"Plxna2","receptor","semaphorin co-receptor; GTPase-activating protein (RasGAP); cytoskeletal remodeling","SEMA3A; SEMA6A; Rho GTPases; R-Ras (GAP activity)","plasma membrane; growth cone","brain; neural tissues; vasculature; lymphatics","cerebellar granule cells; hippocampal granule cells; cortical neurons; endothelial cells","Semaphorin-plexin signaling; axon guidance; cytoskeletal dynamics; cell migration","ectopic cerebellar granule cells; decreased neuronal migration; abnormal hippocampal mossy fiber innervation; ataxia; abnormal cerebellar molecular layer; abnormal dendrite morphology; abnormal amacrine cell morphology","moderate-severe","ataxia; ectopic cerebellar granule cells; impaired granule cell migration; abnormal cerebellar molecular layer","KO causes ectopic cerebellar granule neurons and disorganized cerebellar cortex; required for GC migration; Sema5A-PlxnA2 signaling regulates dentate gyrus GC distribution (functional study)","bioinformatic cancer associations (osteoporosis GWAS via bone signaling)","bioinformatic GWAS/association","schizophrenia (GWAS candidate gene); autism spectrum disorder (CNV 16p11.2 context indirectly)","required for cerebellar and hippocampal granule cell migration during development","Semaphorin receptor essential for cerebellar granule cell migration and cortical lamination; KO causes ectopic granule neurons, ataxia, and mossy fiber misrouting; schizophrenia GWAS candidate."
"Zfp385b","transcription factor","transcriptional regulation",NA,"nucleus","brain; hematopoietic","neurons; hematopoietic cells","p63 signaling; stress response",NA,NA,"stress-induced depression (expression association)",NA,"breast cancer; ovarian cancer; cervical cancer; multiple cancers (TCGA pan-cancer)","potential biomarker; prognostic marker; expression correlated with survival","stress-induced depression (lncRNA study)",NA,"Zinc finger protein with emerging roles as cancer biomarker and brain expression; miR-1258 is intronic and epigenetically silenced in myeloma"
"Prom2","other","membrane scaffolding; ferroptosis regulation",NA,"plasma membrane; lipid rafts","lung; peripheral nerve; hematopoietic","Schwann cells; erythrocytes","ferroptosis; exosome biogenesis","abnormal nail morphology; hyperactivity; abnormal retina morphology; anemia; decreased erythrocyte number; abnormal sleep behavior","moderate","hyperactivity; abnormal sleep behavior",NA,"lung cancer (NSCLC); breast cancer","cisplatin resistance in NSCLC; upregulated in cancer; ferroptosis modulator","ALS (expression association)",NA,"Prominin-2 promotes ferroptosis resistance and is associated with cisplatin resistance in NSCLC; expressed in Schwann cells and erythroid cells"
"Mall","structural protein","membrane organization",NA,"plasma membrane; lipid rafts","kidney; colon; various epithelia","epithelial cells; T cells","lipid raft trafficking; transcytosis; adenosine receptor signaling",NA,NA,NA,NA,"kidney cancer; uveal melanoma; colorectal cancer","epigenetic silencing associated with prognosis; MAL family member with tumor-suppressive role",NA,"epithelial cell differentiation","MAL-family proteolipid involved in lipid raft organization and transcytosis; MAL family members collectively regulate cancer progression"
"Tinagl1","ECM protein","cell adhesion; adrenocortical zonation; protease inhibition","cathepsin L (interaction)","extracellular matrix; secreted","adrenal cortex; kidney; skeletal muscle; skin; breast","adrenocortical cells; myoblasts; fibroblasts","integrin signaling; adrenocortical zonation; cell adhesion/migration","reduced female fertility; postnatal lethality (incomplete penetrance)","mild",NA,NA,"hepatocellular carcinoma; breast cancer","upregulated in metastatic tumors; promotes migration and invasion; prometastatic",NA,"adrenocortical cell differentiation; skeletal muscle differentiation (limited role)","Matricellular ECM protein that interacts with cell surface receptors and structural matrix proteins; promotes tumor metastasis and modulates adrenocortical differentiation"
"Sel1l3","scaffold/adaptor","protein-protein interaction; antigen binding",NA,"endoplasmic reticulum membrane","colon; immune","B cells; immune cells","ERAD pathway (likely); immune response","abnormal coat/hair pigmentation; increased circulating ALT; increased grip strength","mild",NA,NA,"glioblastoma; melanoma; papillary renal cell carcinoma; lymphoma","prognostic biomarker in bioinformatic screens; BCR antigen target in vitreoretinal lymphoma","primary vitreoretinal lymphoma (autoantigen)",NA,"SEL1L3 is a multi-glycosylated protein identified as a B-cell receptor autoantigen in vitreoretinal lymphoma; appears in multiple cancer prognostic screens"
"Nat8","enzyme","lysine N-acetyltransferase; mercapturic acid synthesis","PROM1; BACE1; cysteine S-conjugates","endoplasmic reticulum membrane","kidney; liver; neurons","renal tubular cells; neurons; hepatocytes","ER protein quality control; reticulophagy; mercapturic acid detoxification pathway",NA,NA,"ER acetylation defects linked to neurological disease",NA,"colorectal cancer (minor association)","minor cancer association in bioinformatic studies","neurological disease (ER acetylation dysfunction)","ER-resident acetyltransferase that regulates protein homeostasis and reticulophagy; dysfunctional ER acetylation causes severe neurological phenotypes",""
"Stard10","other","phospholipid transfer","phosphatidylcholine; phosphatidylethanolamine","cytoplasm; lipid droplets","pancreatic islets; liver; sperm; nervous system","beta cells; hepatocytes; spermatocytes; neurons","lipid metabolism; insulin secretion; bile metabolism","abnormal digestive physiology; decreased circulating triglycerides/cholesterol/fatty acids; abnormal bile composition; decreased liver lipids; decreased susceptibility to hepatic steatosis; decreased locomotor activity","moderate","decreased locomotor activity",NA,NA,NA,NA,"beta cell differentiation and function (T2D risk locus); required for normal insulin secretion","START-domain phospholipid transfer protein at T2D risk locus; regulates beta-cell function and lipid homeostasis; deletion impairs insulin secretion and beta-like cell formation from stem cells"
"Fam53b","scaffold/adaptor","Wnt/beta-catenin nuclear localization regulator","CTNNB1 (beta-catenin)","nucleus; cytoplasm","brain; muscle; heart","neurons; myoblasts; cardiomyocytes","Wnt/beta-catenin signaling","increased mean corpuscular volume; cardiovascular phenotype; decreased erythrocyte number; abnormal auditory brainstem response; decreased prepulse inhibition; abnormal sinus arrhythmia","moderate","abnormal auditory brainstem response; decreased prepulse inhibition",NA,"thyroid cancer; pancreatic ductal adenocarcinoma","circ_FAM53B acts as ceRNA in thyroid cancer; FAM53B promotes macrophage M2 polarization in PDAC metastasis","Alzheimer's disease (genetic association); schizophrenia/psychiatric (prepulse inhibition defect); smoking behavior GWAS","neuronal proliferation during CNS development; CNS progenitor proliferation in medaka (simplet/smp)","Regulator of Wnt/beta-catenin signaling required for CNS progenitor proliferation (simplet ortholog); KO mice show auditory brainstem and prepulse inhibition defects"
"Rnf128","ubiquitin ligase","K27/K48/K63-linked polyubiquitination; T cell anergy induction","ARPC5; COR1A (cytoskeletal); IL2/IL4 (transcriptional repression)","cytoplasm; nucleus; transmembrane","immune; bone marrow; ectoderm","T cells; B cells; hematopoietic progenitors","T cell anergy; IL-2/IL-4 signaling; actin cytoskeleton dynamics; innate immune signaling","increased T cell proliferation; abnormal T cell anergy; increased IFN-gamma/IL-2/IL-17 secretion; increased susceptibility to experimental autoimmune encephalomyelitis; CNS inflammation; enlarged spleen","moderate-severe","increased susceptibility to experimental autoimmune encephalomyelitis; CNS inflammation",NA,"melanoma; colorectal cancer; lung adenocarcinoma","context-dependent tumor suppressor or oncogene depending on cancer type; prognostic marker","autoimmune encephalomyelitis","hematopoietic differentiation; ectoderm patterning (neural-inducing signal sensitization)","E3 ubiquitin ligase (GRAIL) that enforces T cell anergy by ubiquitinating cytoskeletal components and suppressing IL-2/IL-4; KO mice develop autoimmune encephalomyelitis"
"Car7","enzyme","bicarbonate production; CO2 hydration","CO2/HCO3-","cytoplasm","brain; colon; intestine","cerebellar neurons; cortical neurons; colonocytes; BEST4+ intestinal cells","acid-base balance; GABAergic signaling; chloride homeostasis","abnormal GABA-mediated receptor currents; environmentally induced seizures; increased circulating free fatty acids; increased heart weight; increased circulating sodium","moderate","abnormal GABA-mediated receptor currents; environmentally induced seizures","CA7 mRNA broadly expressed in cerebrum and cerebellum by in situ hybridization; expressed in Purkinje-like neurons","colorectal cancer","downregulated in colorectal cancer; potential tumor suppressor","epilepsy/seizure susceptibility",NA,"Carbonic anhydrase 7 is expressed broadly in the brain including cerebellum; KO mice show GABA signaling defects and seizure susceptibility; downregulated in colorectal cancer"
"Usp2","protease","deubiquitination","MDM2; MDM4; CCND1; PER1 (clock); KRAS","cytoplasm; nucleus","kidney; liver; testis; brain","mesangial cells; hepatocytes; spermatocytes; circadian clock neurons","p53/MDM2 pathway; cell cycle G1/S; circadian clock; myogenic differentiation; lipid metabolism","abnormal seminiferous tubules; reduced male fertility; impaired sperm motility; abnormal circadian behavior period; hyperactivity","moderate","hyperactivity; abnormal circadian behavior period",NA,"multiple myeloma; bladder cancer; acute promyelocytic leukemia","stabilizes KRAS and MDM2 to promote tumor survival; USP2 inhibition reduces drug-resistant APL; prognostic in bladder cancer (EZH2-USP2 axis)","circadian rhythm disorder","myogenic differentiation regulation (indirect via cell cycle)","Deubiquitinase that stabilizes MDM2/MDM4/KRAS to suppress p53 and promote cell cycle progression; regulates circadian clock; pharmacological inhibition kills multiple myeloma and drug-resistant leukemia"
"Tagln","structural protein","actin cross-linking/gelling","actin","cytoplasm; cytoskeleton","smooth muscle; vascular endothelium; fibroblasts","smooth muscle cells; endothelial cells; fibroblasts","actin cytoskeleton organization; smooth muscle contraction","no abnormal phenotype detected","none",NA,NA,"prostate cancer; colorectal cancer; various","differentially expressed in multiple cancers; used as smooth muscle marker",NA,"smooth muscle differentiation marker; adipocyte differentiation (MCAM parallel study noted TAGLN context); endothelial cell elongation during angiogenesis","Actin cross-linking protein and canonical smooth muscle cell marker; involved in endothelial cell elongation during angiogenesis; KO mice have no overt phenotype"
"Mcam","adhesion molecule","cell adhesion; receptor signaling; tyrosine kinase activation","FYN; PTK2/FAK1 (downstream)","plasma membrane","melanoma; vasculature; neural crest; adipose; mammary gland","smooth muscle cells; endothelial cells; neural crest cells; mesenchymal stem cells; adipocytes","Wnt non-canonical signaling; integrin signaling; FYN/FAK kinase signaling; angiogenesis","abnormal response to infection; abnormal cytokine level; decreased macrophage cytokine production; increased vertical activity; abnormal bone structure; increased bone mineral content","mild","increased vertical activity","neural crest expression (embryonic development)","melanoma; lung adenocarcinoma; colorectal cancer","promotes tumor spread via hematogenous dissemination; CD146 marks MSC subpopulations; expressed on CAFs predicting poor prognosis",NA,"neural crest differentiation; adipogenesis (MCAM knockdown impairs 3T3-L1 adipocyte differentiation); mammary epithelial cell fate (negative regulator via non-canonical Wnt)","Adhesion molecule (CD146) that activates FYN/FAK signaling; promotes hematogenous tumor spread; expressed in neural crest and required for adipogenesis and mammary gland homeostasis"
"Lysmd2","other","lysosome-related organelle biogenesis",NA,"lysosomal compartment","ubiquitous","various; C. elegans intestinal cells","LRO biogenesis pathway",NA,NA,NA,NA,NA,NA,NA,NA,"LYSMD2 is an evolutionarily conserved LysM-domain protein that regulates lysosome-related organelle biogenesis; functional data only from C. elegans"
"Lrrc2","other",NA,NA,NA,"brain; skeletal muscle",NA,NA,"decreased prepulse inhibition","mild","decreased prepulse inhibition",NA,"colorectal cancer (CD133+ stem cells); thyroid cancer brain metastasis","expressed in CD133+ CRC stem cells; differentially expressed in brain-metastatic thyroid cancer","autism spectrum disorder (lncRNA LRRC2-AS1 expression association); Alzheimer's disease (Mendelian randomization)","skeletal muscle preferential expression","Leucine-rich repeat protein with preferential skeletal muscle expression; KO shows prepulse inhibition defect; associated lncRNA (LRRC2-AS1) dysregulated in autism"
